flow_id,source,destination,source_tor,destination_tor,lane,tor_offset,bytes,start_ns,start_ms,start_superslice,completed,finish_ms,fct_ms,flow_goodput_gbps,total_data_hops,data_hops_per_nominal_packet,unfinished_marker,generated,delivered,queue_arrivals,queue_transmissions,dropped,overflow,timeout,shaping,tentative,shaping_checks,shaping_admitted,waste_hops,topology,path_hops_min,path_hops_max,path_hops_sum,last_credit_path_hops,mean_credit_path_hops,credit_drop_ratio,credit_delivery_ratio,waste_link_bytes
61,61,175,10,29,1,19,33554432,1036500,1.0365,19,True,17.320399000000002,16.283899,16.48471634465431,59578,2.5496640561475585,False,128921,23353,367666,262098,105568,0,0,664,104904,1558,894,50235,0,1,5,397660,2,3.084524631363393,0.8188580603625476,0.1811419396374524,3215040
62,62,284,10,47,2,37,33554432,1527000,1.527,28,True,19.246581000000003,17.719581,15.14908597443698,57456,2.458852227500321,False,140273,23342,398165,281234,116931,45,0,625,116261,1479,854,60189,0,1,4,450917,1,3.214567308035046,0.8335959165341869,0.1664040834658131,3852096
63,63,393,10,65,3,55,33554432,2017500,2.0175,37,True,17.965379,15.947879,16.832047446560136,55418,2.371635212051183,False,126234,23344,357950,255060,102890,34,0,1299,101557,3224,1925,50160,0,1,5,393200,4,3.1148501988370803,0.815073593485115,0.18492640651488507,3210240
64,64,502,10,83,4,73,33554432,2508000,2.508,46,True,18.87256,16.36456,16.403463093416505,61955,2.651388710574742,False,129592,23369,371872,265649,106223,0,0,698,105525,1763,1065,50688,0,1,5,416983,4,3.217660040743256,0.8196725106488055,0.18032748935119453,3244032
65,65,611,10,101,5,91,33554432,2998500,2.9985,55,True,19.457729,16.459229,16.309114843714735,57414,2.457054820901271,False,130276,23352,385116,278192,106924,13,0,996,105915,2921,1925,67182,0,1,5,411974,2,3.162316927139304,0.8207497927477049,0.17925020725229512,4299648
66,66,72,11,12,0,1,33554432,600500,0.6005,11,True,16.084536,15.484036,17.336271757570184,57111,2.444087816150982,False,122560,23336,341056,241832,99224,0,0,985,98239,2783,1798,38953,0,1,5,376773,4,3.074192232375979,0.8095953002610966,0.1904046997389034,2492992
67,67,181,11,30,1,19,33554432,1091000,1.091,20,True,14.676620999999999,13.585621,19.758791740178825,57402,2.4565412761586853,False,107534,23343,313191,229000,84191,4,0,734,83453,1936,1202,40780,0,1,5,338696,4,3.149664292223855,0.7829244704000595,0.21707552959994048,2609920
68,68,290,11,48,2,37,33554432,1581500,1.5815,29,True,15.326407,13.744907,19.529812460717267,59777,2.558180339795438,False,108799,23356,310900,225457,85443,1,0,1087,84355,2940,1853,33590,0,1,5,335369,2,3.082463993235232,0.7853289092730632,0.21467109072693683,2149760
69,69,399,11,66,3,55,33554432,2072000,2.072,38,True,18.543603,16.471603,16.296862910064064,56893,2.4347584199940084,False,130402,23344,370859,263801,107058,2,0,823,106233,2429,1606,53309,0,1,4,395723,1,3.0346390392785385,0.8209843407309704,0.17901565926902963,3411776
70,70,508,11,84,4,73,33554432,2562500,2.5625,47,True,17.712214,15.149714,17.71884644158959,55874,2.39114991226944,False,119932,23339,331329,234736,96593,2,0,891,95700,2481,1590,35666,0,1,4,366705,4,3.057607644331788,0.8053980589000433,0.19460194109995665,2282624
71,71,617,11,102,5,91,33554432,3053000,3.053,56,True,15.394029,12.341029,21.751464646910723,56499,2.4178970342791115,False,97695,23349,283250,208904,74346,2,0,890,73454,1990,1100,31440,0,1,5,291595,2,2.98474845181432,0.7610010747735299,0.23899892522647015,2012160
72,72,78,12,13,0,1,33554432,655000,0.655,12,True,12.036087,11.381087,23.58609999203064,57484,2.4600504985663543,False,90082,23345,273501,206764,66737,53,0,649,66035,1881,1232,35981,0,1,4,277606,2,3.081703336959659,0.7408472280810817,0.25915277191891833,2302784
73,73,187,12,31,1,19,33554432,1145500,1.1455,21,True,15.983037,14.837537,18.091645264304987,58198,2.4906064107502033,False,117448,23337,335079,240968,94111,47,0,950,93114,2319,1369,42078,0,1,5,358395,3,3.05152067297868,0.8012992984129147,0.19870070158708536,2692992
74,74,296,12,49,2,37,33554432,1636000,1.636,30,True,19.037931999999998,17.401932,15.425612282590231,58069,2.485085804767407,False,137736,23365,391011,276640,114371,12,0,1021,113338,3191,2170,57520,0,1,4,431300,3,3.1313527327641286,0.8303638845327292,0.16963611546727073,3681280
75,75,405,12,67,3,55,33554432,2126500,2.1265,39,True,14.729236,12.602736,21.299776175586,56458,2.4161424230752773,False,99746,23353,285405,209012,76393,0,0,1126,75267,2742,1616,29526,0,1,4,302575,2,3.033454975638121,0.765875323321236,0.23412467667876405,1889664
76,76,514,12,85,4,73,33554432,2617000,2.617,48,True,17.705401,15.088401,17.79084848023326,57967,2.4807206744554287,False,119446,23349,337789,241692,96097,27,0,1018,95052,2958,1940,41050,0,1,4,367879,2,3.079877099274986,0.8045225457528925,0.19547745424710747,2627200
77,77,623,12,103,5,91,33554432,3107500,3.1075,57,True,17.453691,14.346191,18.711270190115272,56084,2.4001369452646895,False,113551,23352,317861,227662,90199,3,0,1309,88887,4006,2697,34682,0,1,5,347572,3,3.0609329728492045,0.7943479141531118,0.20565208584688818,2219648
